=== 심볼별 원본 데이터 ===
symbol,tf,detectionVer,boxes,modelId,label,total,wins,losses,partials,winRate%,avgPnl%,totalPnl%,profitFactor,tradeFreq,score
BTC-USDT,1h,V1,1018,1,"① Legacy",2107,1119,988,0,53.11,0.0299,63.0662,1.090,2.070,31
BTC-USDT,1h,V1,1018,2,"② PRO v2 재진입↑",2452,1534,918,0,62.56,0.6071,1488.5067,2.981,2.409,58
BTC-USDT,1h,V1,1018,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V1,1018,4,"④ TF분리",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V1,1018,5,"⑤ TF분리+상한3",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V1,1018,6,"⑥ +dipLow버퍼",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V1,1018,7,"⑦ 풀최적화(V1)",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V2+,977,8,"⑧ V2+분할익절",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V2+,977,9,"⑨ V2+거래량필터",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V2+,977,10,"⑩ V2+확인캔들",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1h,V2+,977,11,"⑪ V2+전체조합",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1d,V1,1365,1,"① Legacy",3142,2039,1103,0,64.89,0.2966,932.0500,1.497,2.302,45
BTC-USDT,1d,V1,1365,2,"② PRO v2 재진입↑",3787,3151,636,0,83.21,1.2346,4675.3054,3.475,2.774,76
BTC-USDT,1d,V1,1365,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
BTC-USDT,1d,V1,1365,4,"④ TF분리",3787,3151,636,0,83.21,1.2346,4675.3054,3.475,2.774,76
BTC-USDT,1d,V1,1365,5,"⑤ TF분리+상한3",2470,1914,556,0,77.49,1.3053,3224.1335,2.952,1.810,74
BTC-USDT,1d,V1,1365,6,"⑥ +dipLow버퍼",2664,2295,369,0,86.15,1.3045,3475.1798,2.113,1.952,68
BTC-USDT,1d,V1,1365,7,"⑦ 풀최적화(V1)",2664,2295,369,0,86.15,1.3045,3475.1798,2.113,1.952,68
BTC-USDT,1d,V2+,701,8,"⑧ V2+분할익절",836,739,97,311,88.40,3.1216,2609.6877,4.406,1.193,97
BTC-USDT,1d,V2+,701,9,"⑨ V2+거래량필터",927,640,287,0,69.04,2.1339,1978.1015,1.799,1.322,77
BTC-USDT,1d,V2+,701,10,"⑩ V2+확인캔들",1042,851,191,0,81.67,3.7247,3881.1379,2.997,1.486,93
BTC-USDT,1d,V2+,701,11,"⑪ V2+전체조합",862,807,55,258,93.62,4.2139,3632.3501,7.521,1.230,97
ETH-USDT,1h,V1,1181,1,"① Legacy",2683,1514,1169,0,56.43,0.0873,234.2125,1.275,2.272,35
ETH-USDT,1h,V1,1181,2,"② PRO v2 재진입↑",3686,2581,1105,0,70.02,0.7152,2636.3063,3.493,3.121,68
ETH-USDT,1h,V1,1181,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V1,1181,4,"④ TF분리",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V1,1181,5,"⑤ TF분리+상한3",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V1,1181,6,"⑥ +dipLow버퍼",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V1,1181,7,"⑦ 풀최적화(V1)",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V2+,1023,8,"⑧ V2+분할익절",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V2+,1023,9,"⑨ V2+거래량필터",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V2+,1023,10,"⑩ V2+확인캔들",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1h,V2+,1023,11,"⑪ V2+전체조합",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1d,V1,981,1,"① Legacy",2589,1711,878,0,66.09,0.4862,1258.7423,1.700,2.639,50
ETH-USDT,1d,V1,981,2,"② PRO v2 재진입↑",4357,3844,513,0,88.23,1.8184,7922.7774,3.858,4.441,88
ETH-USDT,1d,V1,981,3,"③ PRO v2 재진입✕",0,0,0,0,0.00,0.0000,0.0000,1.000,0.000,0
ETH-USDT,1d,V1,981,4,"④ TF분리",4357,3844,513,0,88.23,1.8184,7922.7774,3.858,4.441,88
